Title,Description,Permalink,Post type,People reached,Comments,Likes,Shares,Engagements,Link clicks,Photo views,Other clicks,Total clicks
,"#嘉年华kaki 
大马最盛大日本夏季祭典🇯🇵
7月15-16日📅LaLaport Bon Odori吃喝跳起来🌸
.
纳尼‼️ 吉隆坡也有日本Bon Odori 盆舞节了？😍🎌
这个周末一起到📍LaLaport BBCC探索日本文化吧！🎏
.
活动看点✨✨✨：
🍙 日本街头美食及甜点
👘 浴衣体验
🪩 日本音乐会及现场DJ表演
🎯 趣味日本游戏
🍿 免费领取棉花糖和爆米花
⚔️ 武士少女剑舞表演
🥁 和太鼓表演
.
当天甚至还有独家优惠及促销活动🔥 其中包括免费Kirin啤酒、RM5现金券等等！
📷打卡小帖士：想要趁Bon Odori出大片的，记得精心打扮并趁着黄昏时分 🌅 拍照留影，定能拍出满满氛围感的作品😍
.
【 2023年盆舞节 Bon Odori 】
📍活动地点：Central Rooftop Garden, Level 4, LaLaport BBCC
📅活动日期：2023年7月15日和16日
⏰活动时间：下午4点至晚上10点
🎫活动门票： #入场免费❗️
.
【 LaLaport BBCC 】
📱Facebook：https://www.facebook.com/lalaport.bbcc
📱Instagram：https://www.instagram.com/lalaport_bbcc/
🔗更多资讯：https://shorturl.at/kuyKY
.
照片来源：取自网络//如有冒犯请PM小编
✏️Credit By：#大码小编
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！",https://www.facebook.com/myeatkaki/posts/pfbid0RX11ppB5pHMVjXAEGZFXpKNsdcCiNTsiThfzCbnJQzHmM5NU15DYyzB3ctijHG2pl,Photo,247644,790,1763,812,3365,301,26079,18862,45242
全SS2最便宜 炸鸡椰浆饭,"#揾食kaki 
全SS2最便宜
炸鸡椰浆饭
.
宵夜就是夜猫子最大的动力💪如果你还在搜索SS2半夜可以吃什么，哎呀不用了啦！在找下去就饿肚子了！介绍你这家很好认的【 Wonderful Mondays 】，里面居然还有超多食物可以选择🤤
.
除了有他们爆红的 #午餐肉系列 美食😋 现在只要在早餐和宵夜时段到店购买，就可以享有 RM7.90 吃到一餐的优惠😍 
✅Rempah炸鸡椰浆饭、✅ 叁巴Sotong椰浆饭 & ✅斋肉叉烧拌拉面 ❗️
另外还有多种饮料🥤和自煮糖水🥣可以加点！还有不可错过他们外酥内软的炸鸡🍗小吃，1对也才RM7.90🔥
.
这间店早上7:45am就开始营业！每逢星期一到六都会开到半夜1am，就是为了可以准备热腾腾的食物给夜猫子们啊～
宵夜可以吃到这么多东西，真的超划算😍不再让自己半夜饿肚子啦，jio起来！吃起来！
.
【 Wonderful Mondays 】
📍32, Jalan SS2/66, 47300 Petaling Jaya, Selangor
🕕早餐时段：7.45am - 11am（每天）
🕕正餐时段：11am-9:30pm（每天）
🕕宵夜时段：9.30pm - 1am（星期一到星期六）
📱012-345 4799
.
Facebook:https://www.facebook.com/WonderfulMondays
Instagram: https://www.instagram.com/wonderfulmondays/
.
✏️Content Creator： #大码小编
🎤Host： #大码小编
📹 Videographer：Xin Tong
🎬Editor：Xin Tong
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！",https://www.facebook.com/myeatkaki/posts/pfbid02tSvWfP8jmRf4cw48583FHN3xnBo1rkQ4dEKjYw4KEczYEuiJrU5t8kpTTSVPQcy6l,Video,246285,183,2123,930,3236,441,,29469,44909
,"全新 #iPhone15 系列参考书！
据说9月开卖，你觉得值得吗？
.
⚠️资料仅供参考，详情请浏览apple官网为准。
🛒点击购买Apple产品: https://shope.ee/8UfBSMpnyj
.
✏️Credit: #小云小编
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！
[感谢赞助商，要玩就要玩最安全的  Eclbet  ]",https://www.facebook.com/myeatkaki/posts/pfbid02dA2auWvzUc1ydo1BRUwr52m73pigx94RiTHXf88CUtWcA9FxRPvUXjBPdfGK6xB8l,Photo,244567,498,842,537,1877,25,36539,10878,47442
KL全景hotel 8小时只需RM80!,"#揾住kaki
KL全景hotel
8小时只需RM80!
.
每次经过📍KL茨场街 看到一座“红红”的Building是不是很好奇叻👀 它就是 #全马首家 新中式Yu Hotel✨酒店的位置就在 #KL市中心，不仅✅地点美、✅交通方便 ✅价格也便宜‼️
.
#房型有5种， 像Standard Single、Standard Twin、Standard Queen、Superior Twin 和 Superior King👍 小编发现到 #房间大小是一样的，只是多了一套床而已🤔 但 #整体空间算很大，住2-3个人完全不是问题～～
特别适合👉情侣或好朋友到KL旅游/Staycation⛱️
.
#房间设备齐全 几乎该有的都有，像热水器、吹风筒、电视机、咖啡、耳塞等等！最特别的是这里还 #配有中国茶大红袍🍵 就连器皿台灯都很中式“青花瓷”Feel💨💨💨
.
小编能有 #便宜价格 预定到Yu Hotel，全靠FLOW APP啦‼️因为它可以：
✨选择多，从经济型到豪华型酒店都能Book到
✨按小时Book酒店，不管是2小时、4小时或8小时都可以
✨立即Check in酒店，超方便
✨支持各种安全线上支付
✨每月超值促销
.
📣📣📣#限时优惠Promo Code📣📣📣
现在只需要 #下载Flow_APP ➕注册账号，输入「MYKAKI」就可以 #领取RM12折扣卷 啦～😍
.
FB: http://www.facebook.com/flowinmsia
IG: https://www.instagram.com/flow_msia/
Website：https://app.flowtheroom.com/my/en
.
【 Yu Hotel Chinatown 】
📍126, Jalan Petaling, City Centre, 50000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur
.
✏️Content Creator: #咩小编
🎤Host: Jofia
🎬Videographer：#咩小编
🎬Editor: Amy
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！",https://www.facebook.com/myeatkaki/posts/pfbid031LQxxjxKjvRthdaLfmRER87TjEaf3XbEeHxa2tn1gxrHSHCbDV52NT58QyaVnmNil,Video,229611,57,1116,595,1768,146,,11322,14320
柔佛人都懂的🍗炸鸡快餐店回来了🔥,"#揾食kaki 
柔佛人都懂的🍗炸鸡快餐店回来了🔥
.
还记得小时候爸爸妈妈带你去吃第一口 #炸鸡 的幸福感吗🥰
想吃炸鸡其实除了KFC，在大马其实还有一家 #本地炸鸡快餐店【喜爱鸡 Chicken Delight 】，7/80‘s的人肯定都懂❗️
.
想要带你爸妈甚至阿公阿嬷去回味的话，不用再去Johor了～ 他们现在就在📍Setia Alam开店啦🔥 除了可以吃到 #经典炸鸡，更是还有很多 #南洋风味的美食，像是nasi lemak、mee siam、炒粿条、面汤、西餐类等多种选择👍
.
重点是⚠️ 炸鸡的口感完全没变，还是那个童年味～ 还可以搭配套餐系列，还有丰富多样的的配料组成，适合大大小小家庭的 #美食首选✨
.
【 Chicken Delight Setia Alam 】
📍 20-1-1 Jalan Setia Prima B U13/B 40170 Shah Alam, Selangor, Malaysia
🕕 11am - 9:30pm
📱 03-3358 9938
.
Facebook: https://www.facebook.com/ChickenDelightSetiaAlam?mibextid=LQQJ4d
.
✏️Content Creator： #大码小编
🎤Host： #大码小编
📹 Videographer：Xin Tong
🎬Editor：Amy
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！",https://www.facebook.com/myeatkaki/posts/pfbid02WxckfJTbNhVuUdsSLHSjLtZAdy3GEmyzJoVWqFC9pUBpV2pRcrNE2qYbc2zbyVxHl,Video,221512,144,1301,490,1935,170,,17721,24915
,"【 Restoran May Shaw 】
📍24, Jalan Tpp 1/14, Taman Perindustrian Puchong 47100 Puchong Selangor
🕕 7am - 2pm（Sunday Closed）
📱018-201 7479
.
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！
[感谢赞助商，要玩就要玩最安全的 @𝐄𝐂𝐋𝐁𝐄𝐓 ]",https://www.facebook.com/reel/185396497866132/,FB reel,221402,322,2595,1355,4272,,,,
,"💳Citibank信用卡用户 ⚠️注意‼
📆7月16日开始转去UOB
.
#Citibank信用卡 用户要留意啦！从明天起（📆7月16日），所有Citibank业务包括信用卡将会 #迁移至UOB 哦～😯
.
⚠️⚠️⚠️近期内用户们应该会收到email通知的，记得要细读里面的详细资讯啦～看看用户福利是否有变化！
.
✏️Credit: #小云小编
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！",https://www.facebook.com/myeatkaki/posts/pfbid0E51Boq2TAgHsso8gPTHMbCnPc3jkppxgPG4gxpK5WBokk7xfQTnBeEXcDeLJJCK4l,Photo,215740,115,418,689,1222,1,27319,7790,35110
,"#泰国kaki
Cheras📍最长泰国市集来啦‼️
📆7月6 - 16日｜BMC Mall cheras
正宗泰国小吃➕文化➕游戏
.
最长泰国市集🤩终于来到📍Bandar Mahkota Cheras 的 BMC Mall啦～Cheras的kaki们不用羡慕其他人了！🎉🎉🎉喜欢吃泰国餐的kaki，千万不能错过整整10天的 #泰国美食文化市集 — ✨[Unique Thai Food Tourz]！✨
.
现场的美食简直是Copy & Paste泰国街边摊位！相适度100%❗️有🦪生腌、奶茶🧋、烤肉🥓、Mango Sticky Rice🥭、棉花糖🍡、雪山飞狐、跳跳虾🍤、汤面🍜、炸蚕蛹&炸蟋蟀🦗等，就连炸青蛙🐸都有！#泰国最火的街边小吃 应该都搬来这里了🤩🤩～
.
当天晚上⏰7pm - 10pm还会有精彩的 Thai Live Band🎵、Laos dance 老挝传统舞蹈💃、Baesix 美女舞团的Kpop Dance💃～不懂会不会又猛男咧⁉️😳
去什么泰国啦～在Cheras吃到饱❗️赶紧收藏起来吧！
.
小朋友也有很多互动游戏可以体验❕
✅画沙画
✅捞小鱼🐟
✅Super Mario Soopa Doopa
.
【Unique Thaifood Tourz】
📆活动日期：7月6日-16日
📍地点：BMC Mall, Cheras
 ⏰营业时间：12pm-11pm
.
✏️Credit: #小云小编
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！",https://www.facebook.com/myeatkaki/posts/pfbid0HM2eTEdCh7jjXPF3ETykcn6z6QgESqLaHebnXFgRAriPjEB9shhrAXtdzYSoLEPSl,Photo,213970,1371,2267,1337,4975,16,27376,18635,46027
,"#追剧kaki
医生&消防员最危险的爱情⚠️
杨洋上演城市守护者💥成最火看点🔥
.
📺剧集讲述消防站长宋焰（杨洋饰）和急诊科医生许沁（王楚然饰）分别在十年之后重逢！由于工作性质的原因，宋焰和许沁渐渐有了交集。宋焰带领十里台的消防员们为维护人民群众生命财产安全而英勇奋斗，经历了无数次血与火的生死考验后仍不改初心。他的坚持感染着许沁，困扰他们多年的心结也渐渐被解开。两人克服家庭阻力，最终重新走到一起，互相鼓励，共同进步，用各自的专长守护着这座美丽的城市。
👉🏻立即观看《我的人间烟火》: https://s.iq.com/nfatl 
👉🏻下载iQIYI马来西亚APP: https://s.iq.com/rsgol
.
#好康时间📣📣📣 爱奇艺马来西亚正在进行VIP促销，优惠高达40%🔥 新会员购买VIP年卡一天只需RM0.20❗️
现在不买还等几时🕕升级成为VIP会员就可以有更多的独家畅享&福利🎁：
✅跳过广告
✅独家内容 & 专享活动：粉丝见面会、独家精美周边等
✅抢先看最新集数
✅Dolby Atmos 杜比全景声音效
✅高清播放（高达4K超高清画质）
.
📱浏览官方网站：https://www.iq.com/ 
📱Follow FB：https://www.facebook.com/iqiyimalaysia
📱Follow IG：https://www.instagram.com/iqiyimalaysia/
.
✏️Credit By: #大码小编
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！",https://www.facebook.com/myeatkaki/posts/pfbid0ykTe7KNFV8hdY6rEeZU7h6uzQXh9PBJMnNDoXw7vajU6JLvVQBLJamdm8KGUvuv8l,Photo,211656,73,891,286,1250,97,26155,4573,30825
,"#揾玩kaki
📍Pulau Pangkor #全岛唯一 
最大 #水上度假村🌊
.
 #Pangkor 竟然有一个那么浪漫的地方！全岛唯一的水上度假村，里面还有多种SPA按摩选择，中式、巫式、印式，还是天然的 #日式温泉Spa💆‍，工作人员还能准备花瓣泡泡澡给你🌸
.
【 Pangkor Laut Resort  】
📍地址：Lumut, Perak, 32200 Pangkor
📲Facebook：https://www.facebook.com/pangkorlautresort
.
✏️credit: #小云小编
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！",https://www.facebook.com/myeatkaki/posts/pfbid0Ef5TF4W8pdESb8HkUu3FcJB3eFJJUhQq3dXqGKz4cZin9ADvdiVFoykJPEeku2yDl,Photo,207353,531,1457,846,2834,1,15077,5805,20881
日式拉面➕盖饭🇯🇵口味任你选‼️,"#揾食kaki 
日式拉面➕盖饭🇯🇵口味任你选‼️
.
原来日本餐厅还可以有这样的搭配？！【 Tokyo Ramen Cafe 】的Mix and Match 可以同时吃拉面➕盖饭❗️而且还有8种不同的食物口味可以搭配😍别看只是半碗+半碗，其实超级大份，而且只需要RM20++‼️
.
最大的特色是拉面的汤底竟然可以做混合的搭配❗️他们的猪骨汤底是要熬煮48小时🔥然后再加上4⃣️种不同自己打的paste（⚫️黑 - 黑蒜米、🔴红 - Spicy、⚪️白 - 猪油、🟢青 - 擂茶）口味，如果想要再mix黑➕红 or 红➕青，只要=RM2就可以随时配合你喜欢的口味去做要调整👍
.
另外日式盖饭不可错过的还有他们自己自己腌制瘦肉Chasu和三层肉Yaki Buta，入口即化又超级下饭！想要同时吃饭又想要吃面，还可以选择日式小吃、sushi、烤串等，就可以来这里大吃特吃一轮咯🤩
.
【 Tokyo Ramen Cafe 】
📍11 ,2 Rio Xchange Persiaran RIO Bandar Puteri 47100 Puchong Selangor
🕕11.30-10pm
📱010-205 8743
.
Facebook: https://www.facebook.com/tokyoramencafe
Instagram：https://www.instagram.com/tokyoramencafe/?fbclid=IwAR01yad_2KvQ_6IM2sJrm1wkU6ejuihvHQ5Qz5HGI_KpVKbM4OOYZZYiZjE
.
✏️Content Creator： #大码小编
🎤Host： Jofia
📹 Videographer：Xin Tong
🎬Editor：Amy
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！",https://www.facebook.com/myeatkaki/posts/pfbid0pHMMNJZReJP4ag5DbfrsBXdArZ8oDM158EGaJJVvkaD2nAs9Crk4Vc37xXmLdUGpl,Video,202638,237,1252,776,2265,295,,21172,28212
,"【 洪记糖水 】
📍Hong kee Dessert, Jalan 17/27, Seksyen 17, 46400 Petaling Jaya, Selangor
🕕 4pm - 10pm（星期一至三休息）
.
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！
[感谢赞助商，要玩就要玩最安全的 @𝐄𝐂𝐋𝐁𝐄𝐓 ]",https://www.facebook.com/reel/1039127753740582/,FB reel,200191,240,2462,1180,3882,,,,
,"#揾玩kaki
Terengganu📍 碧湖仙境度假村🏝
瀑布+露营+3餐 RM100+✨
.
最近天气太闷热☀️，小编一直在找可以 #乘凉度假的好地方，终于找到一个比较少游客知道的地点啦！就在Terengganu的✨【Lata Kolam Air Deru Ecopark】✨！
.
这里的 #山水清澈见底，而且是 #碧蓝色 的！😍瀑布景色也特别梦幻！这里有提供露营帐篷和Chalet，一晚才RM100+还包三餐‼晚上还可以在小溪旁搭桌椅BBQ！
.
这里白天的活动也很多，还可以玩ATV🚜、飞狐绳降、射箭🏹、山地自行车🚴‍♀️等等！超适合团建的！
.
【Lata Kolam Air Deru Ecopark】
📍地址：5048B, JALAN AIR PANAS LA, KAMPUNG LA, 22010 Jerteh, Terengganu
🚗走起：https://petalmaps.life/h47h2aeb
.
✏️Credit: #小云小编
记得关注 #大马搵食Kaki #MyEatKaki 获取最新衣食住行咨询！
[感谢赞助商，要玩就要玩最安全的 @eclbet   ]",https://www.facebook.com/myeatkaki/posts/pfbid02qHZQw6w92qjk2QeU5xoHFbSgDEJfBBYWmxfhmjab9yhD3CgVR3CAh8Pgdvscd7Lml,Photo,199765,357,959,629,1945,187,9507,2654,12348
